"Codice fiscale
Steuernummer";"Repertorio
Repertoire";"Denominazione 
Bezeichnung";"Sezione (**)
Sektion";"Cognome Legale rapp.
Nachname Ges. Vertreter";"Nome Legale rapp.
Vorname Ges. Vertreter";"Rete 
Netzwerk";"Comune Sede legale
Gemeinsame Rechtssitz";"Provincia Sede legale
Provinz Rechtssitz";" 5x
1000";"Data Iscrizione
Anmeldedatum"
94110640367;47509;ALFEO CORASSORI - LA VITA PER TE ODV;ORGANIZZAZIONI DI VOLONTARIATO;CIMINO;FRANCESCO;No;MODENA;MO;Si;09/09/2022
01643860891;7337;ALFEO SERVIZI SOC. COOP. SOCIALE;IMPRESE SOCIALI;MAIOLINO;FRANCESCO;No;SIRACUSA;SR;No;21/03/2022
03828211205;17576;AL FIANCO SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;FIERARU;LAURENTIU NICU;No;BOLOGNA;BO;No;21/03/2022
95185350659;151351;ALFIERI DELLA SANTISSIMA TRINITA' DI CAVA APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;LUCIANO;LUCA;No;CAVA DE' TIRRENI;SA;Si;29/05/2025
94240480486;69945;ALFIERI E MUSICI DELLA VALMARINA APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;GIUSTI;MASSIMO;No;CALENZANO;FI;No;07/11/2022
91064250797;106911;ALFIERINMOVIMENTO APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;RIZZO;GERARDO;No;CROTONE;KR;No;22/05/2023
03682650043;17073;ALFIERI SOCIETA' COOPERATIVA SOCIALE IMPRESA SOCIALE ETS;IMPRESE SOCIALI;RAFFA;MICHELE;No;MONDOVI';CN;Si;21/03/2022
94090320303;158980;ALFI LUNE APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;DEL SAL;Giulia;No;UDINE;UD;Si;30/09/2025
90058780504;129583;ALFIO BENINCASA APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;VENTURI;GIACOMO;No;CASTELNUOVO DI VAL DI CECINA;PI;No;21/02/2024
05421340877;34742;ALFIO LE MURA CROCE AZZURRA O.D.V;ORGANIZZAZIONI DI VOLONTARIATO;LE MURA;NICOLA;No;SANT'ALFIO;CT;No;04/11/2022
93160730755;27427;ALFISTI GIALLO VERDI APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;LEOCI;COSIMO;No;NARDO';LE;No;16/05/2022
97790470583;147219;ALFONSO E MERI ROMANO ETS;ALTRI ENTI DEL TERZO SETTORE;ROMANO;ALESSANDRA;No;ROMA;RM;Si;14/11/2025
93015580611;68997;ALFREDO GUIDA AMICI DEL LIBRO ONLUS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;GUIDA;MARIO;No;NAPOLI;NA;No;07/11/2022
91300020376;118763;ALFREDO IMPULLITTI - APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;PELLEGRINO;MICHELANGELO;No;PIANORO;BO;Si;22/11/2023
98074980784;95190;ALFREDO SAIARDI ODV;ORGANIZZAZIONI DI VOLONTARIATO;SAIARDI;VALERIA;No;COSENZA;CS;Si;05/01/2023
91179130405;35485;ALFREDO SPERANZA - APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;PESARESI;SIMONETTA;No;RIMINI;RN;Si;15/06/2022
04026720716;18094;A.L.G. AECE SERVIZI COOPERATIVA SOCIALE - ONLUS;IMPRESE SOCIALI;CAIONE;LEONARDO;No;TROIA;FG;No;21/03/2022
03786960785;136114;ALGA SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;GUALTIERI;ANNAMARIA;No;COSENZA;CS;No;05/04/2024
96507480588;54393;ALGAXIA APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;ZOLLA;SABRINA;No;ROMA;RM;Si;29/11/2022
91049780488;64778;ALGEA - FIBROMIALGIA E DOLORE CRONICO ODV;ORGANIZZAZIONI DI VOLONTARIATO;TINACCI;ANNA MARIA;No;EMPOLI;FI;Si;02/11/2022
92034600848;57290;ALGEA ODV - FIBROMIALGIA E DOLORE CRONICO SICILIA;ORGANIZZAZIONI DI VOLONTARIATO;SUTERA;INES;No;MENFI;AG;Si;11/11/2022
97946900152;112559;ALGEBRIS ETS;ALTRI ENTI DEL TERZO SETTORE;MARCOLINI;SILVIA;No;MILANO;MI;Si;13/06/2023
97740660580;148451;ALGECIRAS FLAMENCO ENTE TERZO SETTORE-ASSOCIAZIONE DI PROMOZIONE SOCIALE;ASSOCIAZIONI DI PROMOZIONE SOCIALE;MONALDI;PAOLO;No;ROMA;RM;Si;25/03/2025
92100100905;108029;ALGHERO SOCCORSO ORGANIZZAZIONE DI VOLONTARIATO;ORGANIZZAZIONI DI VOLONTARIATO;GIANICHEDDA;PATRIZIA;No;ALGHERO;SS;Si;28/03/2023
91190420371;25495;AL GIROTONDO SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;DIEGOLI;MAURIZIO;No;SAN LAZZARO DI SAVENA;BO;Si;21/03/2022
91127320728;145656;AL.GRA.MA'. APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;SCALERA;GIACOMO;No;ALTAMURA;BA;Si;05/02/2026
91038370655;128430;AL GRANATELLO SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;GASPARRO;COSIMO;No;EBOLI;SA;No;11/12/2023
93055280155;154513;AL GRUP RIONI E VOGATORI BERNATE TICINO APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;FACCENDINI;MARCO;No;BERNATE TICINO;MI;Si;09/07/2025
91056700213;131401;ALGUNDER GOASSLSCHNOELLER;ORGANIZZAZIONI DI VOLONTARIATO;PIRHOFER;NORBERT JOHANN;No;LAGUNDO;BZ;Si;14/02/2024
91025240218;76772;ALGUNDER JUGENDTREFF IDUNA EO;ORGANIZZAZIONI DI VOLONTARIATO;HOELZL;KLAUS;No;LAGUNDO;BZ;Si;07/11/2022
82009960210;46907;ALGUNDER MUSIKKAPELLE EO;ORGANIZZAZIONI DI VOLONTARIATO;CHRISTANELL;BERNHARD;No;LAGUNDO;BZ;Si;31/08/2022
91222690371;94421;AL HIDAIA - APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;AHMED;MUHAMMAD SAEED;No;SAN GIOVANNI IN PERSICETO;BO;Si;12/01/2023
92010430178;129868;AL HOUDA - ASSOCIAZIONE DI PROMOZIONE SOCIALE;ASSOCIAZIONI DI PROMOZIONE SOCIALE;KAOUKAB;MHAMMED;No;SAREZZO;BS;Si;11/01/2024
92141330289;139762;AL HUDA APS - ETS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;FAILA;MOHAMED;No;MASERA' DI PADOVA;PD;Si;13/08/2024
08214760962;22934;ALIA-ASSOCIAZIONE PER LO STUDIO E IL TRATTAMENTO DEL DISAGIO PSICHICO FEMMINILE;IMPRESE SOCIALI;BRUSA;LUISELLA;No;MILANO;MI;No;21/03/2022
95118490135;33953;ALI - ALLERGICI IMENOTTERI ODV;ORGANIZZAZIONI DI VOLONTARIATO;TONELLO;PAOLO;No;COMO;CO;Si;09/06/2022
98146680784;151598;ALIANTE APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;MATTESINI;ANNA LAURA;No;CASTROLIBERO;CS;Si;03/06/2025
02180010361;9761;ALIANTE - COOPERATIVA SOCIALE;IMPRESE SOCIALI;BERTOLINI;CRISTINA;No;MODENA;MO;Si;21/03/2022
97856200015;40275;ALIANTE ODV;ORGANIZZAZIONI DI VOLONTARIATO;MURGIA;ANNAMARIA;No;TORINO;TO;No;21/07/2022
03405820170;15870;ALIANTE - SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;CIOLI;GIANCARLO;No;PASSIRANO;BS;Si;21/03/2022
02315710711;10404;ALIANTE SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;SIENA;NICOLA;No;SAN GIOVANNI ROTONDO;FG;Si;21/03/2022
04832640876;19608;ALIANTE SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;TARANTO;ANTONIO;No;CATANIA;CT;No;21/03/2022
04880850963;19693;ALIANTE SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;PASQUARE';OLIVIA;No;ABBIATEGRASSO;MI;Si;21/03/2022
03139750602;29603;ALIANTE SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;RAPONI;GIANLUCA;No;FONTANA LIRI;FR;No;19/04/2022
97928710587;1325;ALIANZ ITALIAN KENNEL CLUB;ASSOCIAZIONI DI PROMOZIONE SOCIALE;UCEDA PEREZ;JULIA;No;ROMA;RM;No;03/02/2022
91196370356;112935;ALI APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;BARYTE;RASA;No;CAVRIAGO;RE;Si;12/06/2023
95045360583;91352;ALIAS APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;SANGIORGI;FRANCESCA;No;VELLETRI;RM;No;28/12/2022
03426330282;15961;ALIA SOCIETA' COOPERATIVA SOCIALE CON SIGLA ALIA COOPERATIVA SOCI ALE;IMPRESE SOCIALI;TREVISAN;ALBERTO;No;PADOVA;PD;No;21/03/2022
03573110925;16617;ALI ASSISTENZA SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;COSTA;PIERANDREA;No;CAGLIARI;CA;No;21/03/2022
90020980778;153945;ALI ASSOCIAZIONE DI PROMOZIONE SOCIALE APS -ETS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;VIOLA;DOMENICO;No;POLICORO;MT;Si;08/07/2025
92080800623;146385;ALI ASSOCIAZIONE DI PROMOZIONE SOCIALE E DI SALUTE;ASSOCIAZIONI DI PROMOZIONE SOCIALE;FUCCI;ALESSANRO;No;LIMATOLA;BN;Si;02/07/2025
97845590583;148602;A.L.I. ASSOCIAZIONE LUDOSOFICA ITALIANA APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;MICELI;ARCANGELA;No;ROMA;RM;Si;11/04/2025
01226210910;5420;ALI BABA' - SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;CARBONI;ELEONORA;No;SILANUS;NU;No;21/03/2022
93034360151;41071;ALI BIANCHE ODV;ORGANIZZAZIONI DI VOLONTARIATO;BARBAGLIA;DOMENICO;No;OSSONA;MI;No;22/07/2022
91054360549;96502;ALI BIANCHE ODV;ORGANIZZAZIONI DI VOLONTARIATO;BETTI;MAURA;No;FOLIGNO;PG;Si;20/09/2023
03983341201;35074;ALIBI APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;DEGLIESPOSTI;VERALDO;No;BOLOGNA;BO;Si;15/06/2022
02149310605;9620;ALI BLU COOPERATIVA SOCIALE;IMPRESE SOCIALI;GAFFI;SARA;No;FROSINONE;FR;No;21/03/2022
04135690875;136149;"""ALI BLU SOCIETA' COOPERATIVA SOCIALE""";IMPRESE SOCIALI;MOTTA;SANTO;No;RAMACCA;CT;No;05/04/2024
07306790721;2702;ALICANTES APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;SCOGNAMIGLIO;ANTONIO;No;ALTAMURA;BA;Si;15/06/2022
06624670722;21712;"""AL. I. C. E. ALTERNATIVE INTEGRATE CONTRO L'EMARGINAZIONE - SOCIETA' COOPERATIVA SOCIALE - ORGANIZZAZIONE NON LUCRATIVA DI UTILITA' SOCIALE"" IN SIGLA ""AL.I.C.E. ONLUS""";IMPRESE SOCIALI;TUMMILLO;DONATA;No;BARI;BA;Si;21/03/2022
90090570327;32954;A.L.I.CE. ASSOCIAZIONE PER LA LOTTA ALL'ICTUS CEREBRALE FRIULI VENEZIA GIULIA - TRIESTE ODV;ORGANIZZAZIONI DI VOLONTARIATO;BUTNARU;NELEA;No;TRIESTE;TS;Si;01/06/2022
94086910307;34511;A.L.I.CE. ASSOCIAZIONE PER LA LOTTA ALL'ICTUS CEREBRALE FRIULI VENEZIA GIULIA - UDINE - O.D.V.;ORGANIZZAZIONI DI VOLONTARIATO;LORENZUT;SIMONE;No;UDINE;UD;Si;16/06/2022
90038570470;78256;A.L.I.C.E. ASSOCIAZIONE PER LA LOTTA ALL'ICTUS CEREBRALE -TOSCANA - SEZ.DI PISTOIA ODV;ORGANIZZAZIONI DI VOLONTARIATO;VOLPI;GINO;No;PISTOIA;PT;No;07/11/2022
91310060370;44580;A.L.I.CE. BOLOGNA - ASSOCIAZIONE PER LA LOTTA ALL'ICTUS CEREBRALE ODV;ORGANIZZAZIONI DI VOLONTARIATO;FARINELLI;MARINA;No;BOLOGNA;BO;Si;17/08/2022
98232050173;149196;A.L.I.CE. BRESCIA ODV;ORGANIZZAZIONI DI VOLONTARIATO;RUFFINI;MASSIMO;No;BRESCIA;BS;Si;09/06/2025
95075940130;33949;A.L.I.C.E. COMO ASSOCIAZIONE PER LA LOTTA CONTRO L'ICTUS CEREBRALE ODV;ORGANIZZAZIONI DI VOLONTARIATO;CONTI;ROBERTA;No;COMO;CO;Si;09/06/2022
92087330806;60296;A.L.I.CE. CONDOFURI - ASSOCIAZIONE PER LA LOTTA ALL'ICTUS CEREBRALE ODV;ORGANIZZAZIONI DI VOLONTARIATO;NUCERA;GABRIELLA;No;CONDOFURI;RC;Si;19/10/2022
93080760387;53057;A.L.I.CE FERRARA ODV;ORGANIZZAZIONI DI VOLONTARIATO;MARI;CLAUDIO;No;FERRARA;FE;Si;10/10/2022
91079120118;32787;ALICE LA SPEZIA ODV;ORGANIZZAZIONI DI VOLONTARIATO;MONTANARI;GIAN PIETRO;No;LA SPEZIA;SP;No;30/05/2022
92048010158;99439;A.L.I.CE. LEGNANO ODV;ORGANIZZAZIONI DI VOLONTARIATO;FALZI;GIACOMO;No;LEGNANO;MI;Si;02/02/2023
90015390546;47063;A.L.I.C.E. LOTTA ICTUS CEREBRALE- SEZIONE DI CITTA' DI CASTELLO - ORGANIZZAZIONE DI VOLONTARIATO;ORGANIZZAZIONI DI VOLONTARIATO;MARINI;BARBARA;No;CITTA' DI CASTELLO;PG;Si;31/08/2022
93056960201;110655;ALICE MANTOVA - ODV;ORGANIZZAZIONI DI VOLONTARIATO;MALAGUTTI;ALBERTO;No;BORGO VIRGILIO;MN;Si;17/04/2023
97564120158;666;A.L.I.CE. MILANO SAN CARLO ODV;ORGANIZZAZIONI DI VOLONTARIATO;GROPPALI;FRANCO;No;MILANO;MI;Si;21/02/2022
92009000198;99094;ALICE NELLA CITTA' APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;ZUCCOTTI;MARCELLO;No;CASTELLEONE;CR;Si;26/01/2023
04803940016;19536;ALICE NELLO SPECCHIO SOCIETA' COOPERATIVA SOCIALE - O.N.L.U.S.;IMPRESE SOCIALI;LIPARI;FLAVIO;No;TORINO;TO;Si;21/03/2022
94021310175;2416;ALICE NEL PAESE DELLE MERAVIGLIE APS - NOI PER L'AUTISMO;ASSOCIAZIONI DI PROMOZIONE SOCIALE;GANDINI;NERIS;No;DESENZANO DEL GARDA;BS;Si;14/03/2022
00827070566;4294;ALICENOVA - SOCIETA' COOPERATIVA  SOCIALE;IMPRESE SOCIALI;SPIGONI;ANDREA;No;TARQUINIA;VT;No;21/03/2022
93087450610;87251;ALICE ONLUS;ORGANIZZAZIONI DI VOLONTARIATO;SIMEOLI;GIOVANNA;No;VALLE DI MADDALONI;CE;No;07/11/2022
94179050268;136591;ALICE PROJECT UNIVERSAL EDUCATION ASSOCIAZIONE DI PROMOZIONE SOCIALE;ASSOCIAZIONI DI PROMOZIONE SOCIALE;RAVANELLO;CINZIA;No;ZERO BRANCO;TV;Si;17/07/2024
92065250398;89979;A.L.I.CE. RAVENNA - ASSOCIAZIONE PER LA LOTTA ALL'ICTUS CEREBRALE ODV;ORGANIZZAZIONI DI VOLONTARIATO;TOSCHI;DANIELA;No;RAVENNA;RA;Si;21/12/2022
92187460909;167474;ALICE SASSARI Organizzazione di Volontariato;ORGANIZZAZIONI DI VOLONTARIATO;DELEDDA;MARIA TERESA;No;SASSARI;SS;No;04/03/2026
90031510366;40445;A.L.I.CE. SEZIONE DI CARPI (MO) ASSOCIAZIONE PER LA LOTTA ALL'ICTUS CEREBRALE - ODV;ORGANIZZAZIONI DI VOLONTARIATO;CALESTRINI;MAURIZIO;No;CARPI;MO;Si;22/07/2022
05171840654;20134;ALICE - SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;LAMONICA;MARCO;No;EBOLI;SA;No;21/03/2022
01673790489;7502;ALICE SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;GIANI;NADIA;No;PRATO;PO;Si;21/03/2022
05201280723;66760;ALICE - SOCIETA' COOPERATIVA SOCIALE A RESPONSABILITA' LIMITATA;IMPRESE SOCIALI;CECERE;GIOVANNA;No;LOCOROTONDO;BA;Si;09/11/2022
01193510896;5265;ALICE SOCIETA' COOPERATIVA SOCIALE - ONLUS;IMPRESE SOCIALI;CARUSO;MARIA;No;AVOLA;SR;No;21/03/2022
06773261216;21868;ALICE SOCIETA' COOPERATIVA SOCIALE O.N.L.U.S.;IMPRESE SOCIALI;LEONE;CIRO;No;NAPOLI;NA;No;21/03/2022
01034230860;4717;ALICE SOCIETA' COOPERATIVA SOCIALE ONLUS;IMPRESE SOCIALI;VINCI;-MARIANNA;No;ENNA;EN;No;21/03/2022
03652570718;16966;ALICE SOCIETA' COOPERATIVA SOCIALE ONLUS;IMPRESE SOCIALI;LEPORE;VALERIA;No;STORNARELLA;FG;Si;21/03/2022
92058630531;66161;A.L.I.CE. TOSCANA SEZ. DI GROSSETO  ODV;ORGANIZZAZIONI DI VOLONTARIATO;DE ANGELIS;ANNAMARIA;No;GROSSETO;GR;Si;07/11/2022
94082880488;119405;ALICE TOSCANA SEZIONE FIRENZE ODV;ORGANIZZAZIONI DI VOLONTARIATO;CALZOLARI;SIMONA;No;FIRENZE;FI;Si;07/11/2022
96098910225;109390;A.L.I.CE. TRENTINO - ASSOCIAZIONE LOTTA ICTUS CEREBRALE;ORGANIZZAZIONI DI VOLONTARIATO;ARMANI;ANDREA;No;TRENTO;TN;No;02/12/2022
90161750279;108463;ALICE VENEZIA ODV;ORGANIZZAZIONI DI VOLONTARIATO;CERUTTI;SERGIO;No;VENEZIA;VE;Si;07/11/2022
92047830671;133038;A.LI.CO.D  ONLUS ASSOCIAZIONE LIBERI DALLA CODIPENDENZA;ORGANIZZAZIONI DI VOLONTARIATO;AAAAAAAAAA;AAAAAAAAAA;No;TERAMO;TE;No;04/01/2023
02503740447;103302;ALI COOPERATIVA SOCIALE ENTE DEL TERZO SETTORE;IMPRESE SOCIALI;ANDRENACCI;ALESSANDRO;No;MONTE URANO;FM;No;01/06/2023
92054570533;66159;A.LI.DA.F. ODV;ORGANIZZAZIONI DI VOLONTARIATO;CARLESSO;LORENZO;No;GROSSETO;GR;No;07/11/2022
92025940237;55646;ALI D'ANGELO ODV;ORGANIZZAZIONI DI VOLONTARIATO;BUSINARO;GIANDOMENICO;No;BELFIORE;VR;Si;13/10/2022
92552100155;107240;ALI D'AQUILA ODV;ORGANIZZAZIONI DI VOLONTARIATO;RUSCONI;CHIARA;No;SANT'ANGELO LODIGIANO;LO;No;07/01/2023
97049760792;81115;ALI D'AQUILA ORGANIZZAZIONE DI VOLONTARIATO;ORGANIZZAZIONI DI VOLONTARIATO;BULLESI;MANOLA;No;SATRIANO;CZ;Si;11/11/2022
94560520010;58723;ALI D'ARGENTO - IN MEMORIA DELLE VITTIME DELLA STRADA - ODV;ORGANIZZAZIONI DI VOLONTARIATO;PENNISI;GIUSEPPA;No;PINEROLO;TO;Si;21/10/2022
91031030280;27523;ALIDARTE;ASSOCIAZIONI DI PROMOZIONE SOCIALE;MASIERO;CRISTINA;No;ESTE;PD;Si;14/07/2022
12728891008;24680;ALI DEL CUORE - SOCIETA' COOPERATIVA SOCIALE - ENTE DEL TERZO SET TORE;IMPRESE SOCIALI;ROSSI;MAURA;No;FIUMICINO;RM;Si;21/03/2022
92154380288;55616;ALI DELLA GIOIA O.D.V.;ORGANIZZAZIONI DI VOLONTARIATO;CAMPAGNA;ALBERTO;No;SELVAZZANO DENTRO;PD;Si;13/10/2022
03924970613;17809;ALI DELLA LIBERTA' SOCIETA' COOPERATIVA SOCIALE ONLUS;IMPRESE SOCIALI;PALAZZO;FABIO;No;CAPUA;CE;No;21/03/2022
06330110724;97121;ALI DEL SOCCORSO ETS;ORGANIZZAZIONI DI VOLONTARIATO;LOIODICE;FRANCO;No;CORATO;BA;No;25/01/2023
93393740720;82989;ALI DI CARTA - PRESIDIO DEL LIBRO DI NOICATTARO - APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;Parisi;Simona;No;NOICATTARO;BA;Si;01/12/2022
04228430403;92947;ALI DI FARFALLE - APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;SIGNOROTTI;CHIARA;No;MONTEGRIDOLFO;RN;Si;03/01/2023
97940570159;107004;ALI DI LEONARDO ODV;ORGANIZZAZIONI DI VOLONTARIATO;SCRIMIERI;MARIA;No;BRUGHERIO;MB;Si;27/07/2023
94048190030;44682;ALI DI LUCE;ORGANIZZAZIONI DI VOLONTARIATO;MORONI;CLELIA ANNA LUCIA;No;NOVARA;NO;Si;11/08/2022
90196220272;159103;ALI DI LUCE ASD APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;TOLIN;FIORELLA;No;NOVENTA PADOVANA;PD;Si;11/11/2025
96402000580;52721;ALI DI SCORTA ODV ;ORGANIZZAZIONI DI VOLONTARIATO;GIROMETTI;MAURIZIO;No;ROMA;RM;Si;29/05/2023
94654930158;165565;ALI DI SPERANZA ODV;ORGANIZZAZIONI DI VOLONTARIATO;CASTOLDI;VALENTINA;No;BIASSONO;MB;Si;03/02/2026
96054730799;134610;ALI DI VIBONESITA' ODV;ORGANIZZAZIONI DI VOLONTARIATO;BILOTTA;DOMENICO ANTONIO;No;VIBO VALENTIA;VV;No;22/04/2024
92277270283;55572;ALI DI VITA ODV;ORGANIZZAZIONI DI VOLONTARIATO;BORGATO;LOREDANA;No;SELVAZZANO DENTRO;PD;Si;13/10/2022
97387540822;152011;ALIDORO APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;LO SECCO;FRANCESCO;No;PALERMO;PA;Si;09/04/2025
92298640282;96104;ALIDOR ODV;ORGANIZZAZIONI DI VOLONTARIATO;MARRONE;ROSARIO;No;TREBASELEGHE;PD;No;19/01/2023
91380090372;103344;AlieMani nella musica Associazione di Promozione Sociale;ASSOCIAZIONI DI PROMOZIONE SOCIALE;BONFIGLIOLI;LUISA;No;GRANAROLO DELL'EMILIA;BO;No;24/02/2023
93253300870;138210;ALIEMERGENZA ODV;ORGANIZZAZIONI DI VOLONTARIATO;ALESSI;GIUSEPPE;No;CATANIA;CT;No;23/07/2024
90067580879;675;ALI - EMOZIONI IN MOVIMENTO;ASSOCIAZIONI DI PROMOZIONE SOCIALE;CHIARELLO;GABRIELLA;No;SAN GIOVANNI LA PUNTA;CT;Si;10/02/2022
93066000618;60290;ALI E RADICI APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;PIROZZI;MICHELINA;No;SAN FELICE A CANCELLO;CE;Si;27/10/2022
03305170403;15461;ALI E RADICI SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;FERRINI;VALENTINA;No;RIMINI;RN;No;21/03/2022
94031220786;83263;ALI E RADICI - VALERIO ODV;ORGANIZZAZIONI DI VOLONTARIATO;SANTAGADA;TERESA;No;CERCHIARA DI CALABRIA;CS;Si;29/11/2022
10898561211;165645;ALIFE COOPERATIVA SOCIALE A R.L.;IMPRESE SOCIALI;GARGIULO;CLAUDIA;No;CASORIA;NA;No;21/01/2026
92070010712;41475;ALIGARGANO ODV;ORGANIZZAZIONI DI VOLONTARIATO;ERCOLINO;GRAZIANO;No;SAN GIOVANNI ROTONDO;FG;No;06/09/2022
06368330822;21415;ALIGA TOURISM SOCIETA' COOPERATIVA SOCIALE - ONLUS;IMPRESE SOCIALI;BRUNO;ALESSANDRO ROBERTO;No;PALERMO;PA;No;21/03/2022
90191980276;156738;AL IHSAN-APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;DEWAN;HASAN MD;No;VIGONOVO;VE;Si;06/11/2025
03151170929;14908;ALI INTEGRAZIONE SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;COSTA;PIERANDREA;No;CAGLIARI;CA;No;21/03/2022
90033540775;148163;ALIIS ODV - ETS;ORGANIZZAZIONI DI VOLONTARIATO;RAGO;RENATO;No;PISTICCI;MT;No;22/01/2025
03491920751;16232;ALI - ITALIA - SOCIETA' COOPERATIVA SOCIALE SPORTIVA DILETTANTISTICA;IMPRESE SOCIALI;MALINCONICO;ALESSANDRA MARIA;No;GAGLIANO DEL CAPO;LE;No;21/03/2022
03484200120;16204;ALILEGGERE SOCIETA' COOPERATIVA SOCIALE ONLUS IN LIQUIDAZIONE;IMPRESE SOCIALI;FARONI;LETIZIA;No;BUSTO ARSIZIO;VA;No;21/03/2022
03758630713;17352;ALILIFE SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;PUCILLO;ROBERTA VALENTINA;No;FOGGIA;FG;No;21/03/2022
95222930166;50903;ALILO' FUTURO ANTERIORE APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;MAGGIONI;GIOVANNI;No;BERGAMO;BG;Si;28/09/2022
93161250423;88375;AL-IMAAN ETS;ALTRI ENTI DEL TERZO SETTORE;WASIM;HABIB RANA;No;ANCONA;AN;No;17/02/2023
02130140433;135040;ALIMA APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;DONATI;KATIA;No;RECANATI;MC;No;14/06/2024
02873540732;13755;ALIMA SOCIETA'COOPERATIVA SOCIALE - ONLUS;IMPRESE SOCIALI;NOCCO;GIOVANNA;No;GINOSA;TA;Si;21/03/2022
06513800828;21597;ALIMENA SERVIZI  COOPERATIVA SOCIALE;IMPRESE SOCIALI;GIORNELLI;REMO;No;ALIMENA;PA;No;21/03/2022
04298261209;154774;ALIMENTA SOCIETA'  COOPERATIVA SOCIALE A R.L.;IMPRESE SOCIALI;BELLEI;MASSIMO;No;BOLOGNA;BO;No;23/05/2025
94123710306;45452;ALIMENTAZIONE E BENESSERE APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;SANDRIN;BRUNA;No;SAN DANIELE DEL FRIULI;UD;No;24/08/2022
04687910879;19342;ALI NEL SILENZIO SOCIETA' COOPERATIVA SOCIALE IN LIQUIDAZIONE;IMPRESE SOCIALI;MARINO;SELVY;No;VALVERDE;CT;No;21/03/2022
03494990249;16243;ALINSIEME SOCIETA' COOPERATIVA SOCIALE ONLUS;IMPRESE SOCIALI;CECCONELLO;ALESSANDRA;No;VICENZA;VI;Si;21/03/2022
02938010739;14047;ALI NUOVE - SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;DI BELLO;DANIELE;No;TARANTO;TA;No;21/03/2022
90043880401;35199;ALIO MODO CANTICUM APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;FIUMANA;MARCO;No;CESENA;FC;No;15/06/2022
02197770502;9845;ALIOTH SOCIETA' COOPERATIVA SOCIALE - ONLUS;IMPRESE SOCIALI;LEGGERINI;MATTEO;No;PONTEDERA;PI;Si;21/03/2022
90032500549;154061;ALI.PA. APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;MAMBRINI;RAFFAELLA;No;CITTA' DI CASTELLO;PG;Si;18/06/2025
97970220154;137913;A.L.I. PER LE DONNE A.P.S.;ASSOCIAZIONI DI PROMOZIONE SOCIALE;CARICATO;ALESSANDRA;No;MILANO;MI;Si;12/06/2024
05775370827;20920;ALIPES SOCIETA' COOPERATIVA SOCIALE ONLUS;IMPRESE SOCIALI;RICCOBONO;MARCO;No;PALERMO;PA;No;21/03/2022
